G549_E22T_216hrs
G549_G21T_216hrs
G549_G22T_208hrs
G549_G22T_216hrs
G549_I21T_208hrs
G549_I21T_216hrs
G564_O22T_0hrs
G729_C21T_0hrs
G729_C21T_12hrs
G729_C21T_16hrs
G729_C21T_24hrs
G729_C21T_8hrs
G729_O21T_12hrs
G729_O21T_16hrs
G729_O21T_20hrs
G729_O21T_4hrs
G729_O21T_8hrs
G797_C21T_0hrs
G797_C21T_12hrs
G797_C21T_4hrs
G797_C21T_8hrs
G799_C20T_116hrs
G799_C21T_116hrs
G799_E20T_116hrs
G799_E21T_116hrs
G799_G20T_116hrs
G799_G21T_116hrs
G799_I20T_116hrs
G799_I21T_116hrs
G799_K20T_116hrs
G799_K21T_116hrs
G799_M20T_116hrs
G799_O21T_116hrs
G837_E20T_112hrs
G895_C20T_216hrs
G895_E20T_192hrs
G895_E20T_196hrs
G895_E20T_200hrs
G895_E20T_204hrs
G895_E20T_208hrs
G895_E20T_212hrs
G895_E20T_216hrs
